"subject","predicate","object"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/ontology/abstract","Anton Herman Gerard 'Anthony' Fokker, nacido en Blitar en la isla de Java Oriental. Fallecido en la ciudad de Nueva York, Estados Unidos. Fue un famoso constructor de aviones holandés. Establecido en Alemania en 1910, Fokker diseño y construyó su primer avión a los 20 años en Alemania, al que denominó Spin (araña), debido a la maraña de tensores necesaria para mantener unida la frágil estructura del monoplano. A finales del mismo año este avión realizó algunos saltos con Fokker a los mandos. El mismo se autoenseñó a pilotar con un segundo """"""Spin"""""" perfeccionado, denominado Spin II y fue con el que consiguió a principios de mayo de 1911, realizar su primer vuelo en circuito cerrado. el 16 de mayo de 1911 Fokker consiguió su carnet de piloto y desde entonces dedicó su vida por entero a la aviación. El 22 de febrero de 1912 constituyó en Berlín su primera compañía de construcción de aviones. Ganó reconocimiento durante la Gran Guerra por construir aviones para Alemania. Entre sus ideas más reseñables, estuvo la de inventar un dispositivo que sincronizase las ametralladoras con la hélice, de modo que pudiesen disparar a través de ésta sin dañarla. Sus mejores creaciones fueron el monoplano Fokker E. III, el triplano Fokker Dr. I, y el que es considerado el mejor caza del conflicto, el Fokker D. VII. Tras la guerra y debido al Tratado de Versalles, los alemanes no podían construir aviones y ni siquiera motores para estos en Alemania. Entonces se trasladó a los Países Bajos y fundó su primera compañía para la construcción de aviones en 1919. Se ocupó tanto del diseño de aviones civiles como militares. En 1922 se trasladó a los Estados Unidos, presidiendo la Atlantic Aircraft Corporation hasta 1930. Fallece de meningitis neumococo en Nueva York, con 49 años."
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/ontology/abstract","Anton Herman Gerard 'Anthony' Fokker, né à Blitar dans l'est de Java, dans ce qui était encore les Indes néerlandaises fut un aviateur néerlandais. Après avoir construit son premier avion, le Spin (en) (l'Araignée), à l'âge de 20 ans, en Allemagne, dans un hangar Zeppelin, à Baden-Baden, il devint célèbre pendant la Première Guerre mondiale, en fondant sa première société en 1912, Fokker Aeroplanbau, construisant des avions de guerre pour l'Allemagne. À cause du traité de Versailles, les Allemands ne pouvaient plus construire d'avions après la guerre. Il repartit donc aux Pays-Bas pour lancer une nouvelle société, Fokker en 1919, domicilié à Amsterdam. Il s'intéressa alors davantage à l'aviation civile qu'à l'aviation militaire. Il émigra aux États-Unis et prit la nationalité américaine. Son surnom était Le Hollandais volant."
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/ontology/abstract","Антон Фоккер — голландский авиаконструктор."
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/ontology/abstract","File:Anthony Fokker 1912. jpg Anthony Fokker nel 1912. Anton Herman Gerard Fokker è stato un pioniere dell'aviazione e imprenditore olandese naturalizzato statunitense. Fondatore dell'omonima azienda Fokker, costruttrice di aerei, fu progettista e pilota aeronautico, a soli 20 anni costruì il suo primo aereo. Soprannominato l'Olandese volante, realizzò alcuni tra i migliori aerei civili e militari dell'epoca, tra i quali il triplano del leggendario Barone Rosso. Morì a causa di una meningite batterica a 49 anni."
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/ontology/abstract","Anton Herman Gerard Fokker conhecido como holandês voador, foi um empresário dos Países Baixos, pioneiro da aviação e industrial do ramo aeronáutico."
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/ontology/abstract","Anthony Fokker oli hollantilainen lentokonesuunnittelija, joka suunnitteli useita ilmailun historian merkittäviä lentokoneita. Suomen ilmailussa Fokker D. XXI-hävittäjä on merkittävin Fokkerin tuotteista. Fokker perusti 21. heinäkuuta 1919 lentokonetehtaan."
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/ontology/abstract","Anton Herman Gerard (Anthony) Fokker – holenderski pionier lotnictwa, konstruktor i producent samolotów. W 1925 skonstruował pierwszy trójsilnikowy samolot pasażerski . W 1911 skonstruował swój pierwszy samolot de Spin ("""Pająk"""). Ta konstrukcja wkrótce zakończyła swój żywot na drzewie, jednakże w kolejnych wersjach Spina Fokker poprawiał wady konstrukcji i udoskonalał swój projekt. Właśnie w drugiej wersji Spina Anthony Fokker zdobył licencję pilota. W 1912 otworzył swoją pierwszą firmę lotniczą w Niemczech w niewielkiej miejscowości pod Berlinem"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/ontology/abstract","Anton Herman Gerard 'Anthony' Fokker war ein berühmter niederländischer Flugzeughersteller."
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/ontology/abstract","Anton Herman Gerard Fokker (6 April 1890 &ndash; 23 December 1939) was a pioneer in aviation and a Dutch-American aircraft manufacturer."
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/ontology/abstract","Anton Herman Gerard 'Anthony' Fokker var en nederlandsk flykonstruktør. Han ble født i Blitar på Java i daværende Nederlandsk Østindia. I 1911 flyttet han til Berlin, og konstruerte som tyveåring sitt første fly De Spin. 1912 slo han seg ned i Schwerin i Mecklenburg, og bygget en flyplass med flyverskole i Görries. Under Første verdenskrig konstruerte han flere tusen fly for det tyske forsvaret, først på sin opprinnelige flyplass og senere på Hintenhof i den nåværende Schweriner Bornhövedstraße. Av kjente fly som han konstruerte bør nevnes Fokker Dr.I. Fokker var den eneste flyprodusent som personlig snakket med pilotene ved fronten for å høre deres meninger og ønsker. Blant pilotene som fløy Fokker-fly, var Manfred von Richthofen, kjent som «den røde baron». Etter ordre fra hærledelsen arbeidet Fokker fra 1917 til 1919 sammen med Hugo Junkers. Siden Tyskland ikke fikk lov til å opprettholde et flyvåpen som følge av Versailles-traktaten flyttet Fokker til Nederland. I Nederland grunnla han «Fokker» i 1919, som produserte sivile fly."
